ID_UMKM,Business_Name,Province,City,Business_Sector,Business_Age,Number_of_Employees,Annual_Revenue,Digital_Sales_Percentage,Owner_Age,Owner_Gender,Education,Legal_Status,DC1,DC2,DC3,DC4,DC5,IC1,IC2,IC3,IC4,IC5,EO1,EO2,EO3,EO4,EO5,OA1,OA2,OA3,OA4,OA5,RA1,RA2,RA3,RA4,RA5,ED1,ED2,ED3,ED4,ED5,BR1,BR2,BR3,BR4,BR5,BR6,BR7
UMKM-001,Usaha A1,Sulawesi Selatan,Maros,Teknologi & Digital,1.0,3,131567295,22.6,50,Laki-laki,SMA/SMK,Usaha Dagang (UD),2,2,2,2,2,2,2,2,1,2,3,3,3,3,3,2,1,1,1,1,2,2,2,2,2,3,2,4,4,3,1,1,1,1,1,1,1
UMKM-002,Usaha B2,DKI Jakarta,Jakarta Selatan,Teknologi & Digital,4.3,11,23553881,31.5,35,Laki-laki,Diploma (D1-D3),PT,2,2,3,3,3,3,2,3,3,2,3,4,4,4,3,3,2,2,2,2,3,2,3,2,2,4,4,4,3,4,1,1,2,1,2,2,2
UMKM-003,Usaha C3,Sumatera Utara,Binjai,Teknologi & Digital,7.1,1,9591596,15.9,44,Laki-laki,Sarjana (S1),PT,5,5,5,5,5,4,4,3,3,4,4,4,5,4,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,3,2,3,3,2,3,2
UMKM-004,Usaha D4,Sulawesi Selatan,Gowa,Teknologi & Digital,11.7,3,899406421,51.2,52,Perempuan,SMA/SMK,Usaha Dagang (UD),4,5,4,4,4,3,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,2,3,3,4,4,3,4,4,4,3,3,3,3,3,3
UMKM-005,Usaha E5,Jawa Timur,Malang,Teknologi & Digital,2.4,3,18247796,79.7,29,Laki-laki,Sarjana (S1),Tidak Berbadan Hukum,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,3,2,2,3,1,2,1,1,1,2,3,3,3,3,3,2
UMKM-006,Usaha F6,Kalimantan Timur,Balikpapan,Perdagangan Eceran,1.5,6,17658877,39.6,42,Perempuan,Sarjana (S1),PT,2,2,2,2,3,2,3,3,3,2,2,3,2,3,3,2,2,3,2,3,3,2,2,2,2,4,3,4,4,4,2,2,2,2,2,2,2
UMKM-007,Usaha G7,Sumatera Utara,Binjai,Perdagangan Eceran,7.5,1,6417287,69.0,35,Perempuan,SMA/SMK,Usaha Dagang (UD),5,3,4,5,5,5,4,4,4,4,4,3,3,4,4,4,3,3,5,3,3,3,2,3,3,1,3,2,3,2,4,4,4,3,3,4,3
UMKM-008,Usaha H8,Sumatera Utara,Pematangsiantar,Kerajinan Tangan,9.9,1,28930854,76.0,30,Perempuan,Sarjana (S1),Tidak Berbadan Hukum,4,3,3,4,3,3,3,2,3,3,2,2,2,2,2,2,2,3,2,2,2,2,2,2,1,4,3,3,3,3,2,2,2,2,1,2,2
UMKM-009,Usaha I9,Sulawesi Selatan,Maros,Manufaktur,2.6,2,17940263,24.2,26,Perempuan,SMA/SMK,PT,5,3,4,4,4,4,3,3,4,4,3,3,2,2,2,3,3,3,3,3,2,2,2,3,2,4,3,3,3,2,2,2,2,2,2,3,2
UMKM-010,Usaha J10,Jawa Tengah,Solo,Fashion & Tekstil,0.6,6,320462337,57.0,30,Laki-laki,Magister (S2),PT,4,4,4,4,4,4,4,4,4,5,2,1,2,2,2,3,3,2,3,3,3,4,3,4,3,5,5,5,5,5,4,3,3,3,3,3,3
UMKM-011,Usaha K11,Jawa Timur,Sidoarjo,Jasa & Konsultasi,16.9,1,48747837,32.9,42,Perempuan,Diploma (D1-D3),PT,1,1,2,1,1,1,2,2,2,2,3,4,3,4,3,1,1,1,1,1,1,2,1,1,1,4,4,4,3,3,1,1,1,1,1,1,1
